station_name,address,city,fuel_type,price
CIRCLE K ULMANIS 1,,,petrol_95,1.814
CIRCLE K LIEPĀJA 1,,,petrol_95,1.814
CIRCLE K ZIEPNIEKKALNS,,,petrol_95,1.814
CIRCLE K ULMANIS 2,,,petrol_95,1.814
CIRCLE K IMANTA,,,petrol_95,1.814
CIRCLE K VENTSPILS,,,petrol_95,1.814
CIRCLE K PĻAVNIEKI 1,,,petrol_95,1.814
CIRCLE K JUGLA,,,petrol_95,1.814
CIRCLE K PURVCIEMS,,,petrol_95,1.814
CIRCLE K DAUGAVPILS 1,,,petrol_95,1.814
CIRCLE K VIENĪBAS GATVE,,,petrol_95,1.814
CIRCLE K MEŽCIEMS,,,petrol_95,1.814
CIRCLE K JŪRMALA,,,petrol_95,1.814
CIRCLE K VALMIERA 1,,,petrol_95,1.814
CIRCLE K VALMIERA 2,,,petrol_95,1.814
CIRCLE K RĒZEKNE,,,petrol_95,1.814
CIRCLE K KRASTA 2,,,petrol_95,1.814
CIRCLE K EKSPORTA,,,petrol_95,1.814
CIRCLE K ĶENGARAGS,,,petrol_95,1.814
CIRCLE K DAUGAVPILS 2,,,petrol_95,1.814
CIRCLE K PĒRNAVAS,,,petrol_95,1.814
CIRCLE K TEIKA,,,petrol_95,1.814
CIRCLE K SARKANDAUGAVA,,,petrol_95,1.814
CIRCLE K KURBADA,,,petrol_95,1.814
CIRCLE K DEGLAVA,,,petrol_95,1.814
CIRCLE K MADONA,,,petrol_95,1.814
CIRCLE K LIEPĀJA 2,,,petrol_95,1.814
CIRCLE K TUKUMS,,,petrol_95,1.814
CIRCLE K IĻĢUCIEMS,,,petrol_95,1.814
CIRCLE K KANDAVA,,,petrol_95,1.814
CIRCLE K KULDĪGA,,,petrol_95,1.814
CIRCLE K KALNCIEMS,,,petrol_95,1.814
CIRCLE K VALDEMĀRA,,,petrol_95,1.814
CIRCLE K MĪLGRĀVIS,,,petrol_95,1.814
CIRCLE K BAUSKA,,,petrol_95,1.814
CIRCLE K TALSI,,,petrol_95,1.814
CIRCLE K JELGAVA 1,,,petrol_95,1.814
CIRCLE K JELGAVA 2,,,petrol_95,1.814
CIRCLE K JELGAVA 3,,,petrol_95,1.814
CIRCLE K JĒKABPILS,,,petrol_95,1.814
CIRCLE K OGRE,,,petrol_95,1.814
CIRCLE K SALACGRĪVA,,,petrol_95,1.814
CIRCLE K CĒSIS,,,petrol_95,1.814
CIRCLE K GULBENE,,,petrol_95,1.814
CIRCLE K ĀDAŽI,,,petrol_95,1.814
CIRCLE K LIMBAŽI,,,petrol_95,1.814
CIRCLE K SALDUS,,,petrol_95,1.814
CIRCLE K SIGULDA,,,petrol_95,1.814
CIRCLE K SALASPILS,,,petrol_95,1.814
CIRCLE K KRUSTPILS,,,petrol_95,1.814
CIRCLE K BOTĀNIKA 2,,,petrol_95,1.814
CIRCLE K APVEDCEĻŠ,,,petrol_95,1.814
CIRCLE K MĀRUPE,,,petrol_95,1.814
CIRCLE K MŪKUSALA,,,petrol_95,1.814
CIRCLE K LIEPĀJA 3,,,petrol_95,1.814
CIRCLE K DUNTES,,,petrol_95,1.814
CIRCLE K DAUGAVA,,,petrol_95,1.814
CIRCLE K LIDO,,,petrol_95,1.814
CIRCLE K PĻAVNIEKI 2,,,petrol_95,1.814
CIRCLE K BERĢI,,,petrol_95,1.814
CIRCLE K DZELZAVAS,,,petrol_95,1.814
CIRCLE K VEF,,,petrol_95,1.814
CIRCLE K BOTĀNIKA,,,petrol_95,1.814
CIRCLE K BRĪVĪBAS/CĒSU,,,petrol_95,1.814
CIRCLE K BĒRZKROGS,,,petrol_95,1.814
CIRCLE K MUITAS,,,petrol_95,1.814
CIRCLE K GRENCTĀLE,,,petrol_95,1.814
CIRCLE K JELGAVA 4,,,petrol_95,1.814
CIRCLE K AUTOMĀTS SIGULDA,,,petrol_95,1.814
CIRCLE K AUTOMĀTS LATGALES,,,petrol_95,1.814
CIRCLE K AUTOMĀTS JŪRMALA,,,petrol_95,1.814
CIRCLE K PURVCIEMS 2,,,petrol_95,1.814
CIRCLE K AUTOMĀTS APE,,,petrol_95,1.814
CIRCLE K DOBELE,,,petrol_95,1.814
CIRCLE K SMILTENE,,,petrol_95,1.814
CIRCLE K LIELVĀRDE,,,petrol_95,1.814
CIRCLE K ĶEKAVA,,,petrol_95,1.814
CIRCLE K SAULKRASTI 1,,,petrol_95,1.814
CIRCLE K SAULKRASTI 2,,,petrol_95,1.814
CIRCLE K DREILIŅI,,,petrol_95,1.814
CIRCLE K DAUGMALE,,,petrol_95,1.814
